gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000087530	ENSDARG00000087530	wu:fe05a04	37.4511305457368	-0.534643392335125	0.718430799264237	0.0150043476134418	0.257273361654525	FALSE	FALSE	not DE
ENSDARG00000103608	ENSDARG00000103608	zgc:153431	6.78420763747781	-0.534333983518369	1.15805476398881	0.0118382650660756	0.226805121087667	FALSE	FALSE	not DE
ENSDARG00000117545	ENSDARG00000117545	CABZ01066320.1	10.0482516779937	-0.534214390459282	1.13875511924626	0.0150375456312503	0.257362325548851	FALSE	FALSE	not DE
ENSDARG00000069428	ENSDARG00000069428	slbp2	33.2346389655895	-0.52872056472784	0.647528275281462	0.0110578592870065	0.217998404834522	FALSE	FALSE	not DE
ENSDARG00000044573	ENSDARG00000044573	cdc42	158.793444095634	-0.522346193490117	0.672344580926039	0.0129505902573829	0.241568490419398	FALSE	FALSE	not DE
ENSDARG00000045199	ENSDARG00000045199	NA	48.4171632295456	-0.521805347943624	0.843366900965855	0.025040017870954	0.324373197828838	FALSE	FALSE	not DE
ENSDARG00000003544	ENSDARG00000003544	adarb1b	18.5611027385184	-0.520939746099396	0.82714457799386	0.0240278831406491	0.317376009297378	FALSE	FALSE	not DE
ENSDARG00000032102	ENSDARG00000032102	prdx3	21.1096533851126	-0.513536933215975	0.860099124895571	0.0271992922132706	0.336407356396125	FALSE	FALSE	not DE
ENSDARG00000068286	ENSDARG00000068286	slc7a4	18.1180751047369	-0.502900171124139	0.983689985678669	0.0315954276590224	0.367742044905115	FALSE	FALSE	not DE
ENSDARG00000057227	ENSDARG00000057227	si:dkey-222b8.4	6.40515821048817	-0.502045293039321	1.1283008384248	0.0130127707013879	0.241568490419398	FALSE	FALSE	not DE
ENSDARG00000097473	ENSDARG00000097473	zgc:113340	10.1786041550082	-0.501534981547163	1.0220230695965	0.0293510737043303	0.352475240418036	FALSE	FALSE	not DE
ENSDARG00000028131	ENSDARG00000028131	hccsa.1	8.96257253183721	-0.499843739935961	0.999384802064053	0.031084287619037	0.364333613227273	FALSE	FALSE	not DE
ENSDARG00000055151	ENSDARG00000055151	smyd2a	47.7704463117111	-0.48777340315936	0.757571515842837	0.0227111893955422	0.308206898514252	FALSE	FALSE	not DE
ENSDARG00000059642	ENSDARG00000059642	mtmr14	55.4237009993089	-0.486670229508795	0.701814985127796	0.0181380725766474	0.274961923912279	FALSE	FALSE	not DE
ENSDARG00000077792	ENSDARG00000077792	cdc42ep1b	11.6357348947315	-0.483830377113355	1.02723594195423	0.0289968328020433	0.349827625519681	FALSE	FALSE	not DE
ENSDARG00000079323	ENSDARG00000079323	rgmb	18.8732533934501	-0.483187287058251	0.929092680389985	0.0343658724873928	0.382696605287537	FALSE	FALSE	not DE
ENSDARG00000099749	ENSDARG00000099749	ube2d2l	103.564146622093	-0.481837647844117	0.736218068030975	0.02160910996688	0.299021379742031	FALSE	FALSE	not DE
ENSDARG00000039309	ENSDARG00000039309	hook2	5.23977422909208	-0.48008120919308	0.985168634451332	0.0331984962088474	0.374306715961864	FALSE	FALSE	not DE
ENSDARG00000070025	ENSDARG00000070025	dchs1a	12.2141641258508	-0.478820177325	1.03794857569489	0.0273667677594301	0.337048409122799	FALSE	FALSE	not DE
ENSDARG00000099930	ENSDARG00000099930	col27a1b	13.0470204578326	-0.475494882236549	1.09889651610842	0.0150084106584841	0.257273361654525	FALSE	FALSE	not DE
ENSDARG00000038905	ENSDARG00000038905	hectd3	17.9236150105415	-0.473555561524003	0.941360816790738	0.0355516687337795	0.386913221042787	FALSE	FALSE	not DE
ENSDARG00000062397	ENSDARG00000062397	ndst1a	5.54893686758001	-0.472873883118692	1.09621740793021	0.0151643959602432	0.258709409175704	FALSE	FALSE	not DE
ENSDARG00000021611	ENSDARG00000021611	si:dkey-151g10.3	20.291991366095	-0.47197914888705	0.891330937204522	0.0350212766001102	0.385090756846929	FALSE	FALSE	not DE
